"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
lived_recovery_self,lived_and_living_experience,,radio,"L10. I am currently in recovery from a drug or alcohol use disorder.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_self,,
lived_odsurvive_self,lived_and_living_experience,,radio,"L11. I have survived an overdose.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_self,,
lived_criminal_self,lived_and_living_experience,,radio,"L12. I have been involved in the criminal-legal system (e.g., been arrested, on probation, and/or incarcerated).","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_self,,
lived_mental_self,lived_and_living_experience,,radio,"L13. I have been diagnosed with a mental health condition, such as major depression, bipolar disorder, psychotic disorder, schizophrenia, or schizoaffective disorder.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_self,,
meth_familiar,moud_knowledgeperceptions,"Please rate your level of agreement with the following statements.

M1.  I am familiar with the following treatments for opioid use disorder:",radio,"M1a.  Methadone","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_familiar,,
suboxone_familiar,moud_knowledgeperceptions,,radio,"M1b.  Buprenorphine:  tablets or film dissolved by mouth (Suboxone, Zubsolv)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_familiar,,
sublocade_familiar,moud_knowledgeperceptions,,radio,"M1c.  Buprenorphine:  long-acting injectable (weekly or monthly) (Sublocade, Brixadi)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_familiar,,
vivitrol_familiar,moud_knowledgeperceptions,,radio,"M1d.  Naltrexone:  long-acting injectable (monthly) (Vivitrol)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_familiar,,
meth_training,moud_knowledgeperceptions,"M2.  I have received training about the following treatments for opioid use disorder:",radio,"M2a.  Methadone","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_training,,
suboxone_training,moud_knowledgeperceptions,,radio,"M2b.  Buprenorphine:  tablets or film dissolved by mouth (Suboxone, Zubsolv)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_training,,
sublocade_training,moud_knowledgeperceptions,,radio,"M2c.  Buprenorphine:  long-acting injectable (weekly or monthly) (Sublocade, Brixadi)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_training,,
vivitrol_training,moud_knowledgeperceptions,,radio,"M2d.  Naltrexone:  long-acting injectable (monthly) (Vivitrol)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_training,,
meth_helpful,moud_knowledgeperceptions,"M3.  I think this treatment is helpful to individuals with opioid use disorder:",radio,"M3a.  Methadone","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_helpful,,
suboxone_helpful,moud_knowledgeperceptions,,radio,"M3b.  Buprenorphine:  tablets or film dissolved by mouth (Suboxone, Zubsolv)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_helpful,,
sublocade_helpful,moud_knowledgeperceptions,,radio,"M3c.  Buprenorphine:  long-acting injectable (weekly or monthly) (Sublocade, Brixadi)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_helpful,,
vivitrol_helpful,moud_knowledgeperceptions,,radio,"M3d.  Naltrexone:  long-acting injectable (monthly) (Vivitrol)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_helpful,,
meth_refer,moud_knowledgeperceptions,"M4.  I know where to refer individuals to get this treatment for opioid use disorder.",radio,"M4a.  Methadone","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_refer,,
suboxone_refer,moud_knowledgeperceptions,,radio,"M4b.  Buprenorphine:  tablets or film dissolved by mouth (Suboxone, Zubsolv)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_refer,,
sublocade_refer,moud_knowledgeperceptions,,radio,"M4c.  Buprenorphine:  long-acting injectable (weekly or monthly) (Sublocade, Brixadi)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_refer,,
vivitrol_refer,moud_knowledgeperceptions,,radio,"M4d.  Naltrexone:  long-acting injectable (monthly) (Vivitrol)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_refer,,
meth_willing,moud_knowledgeperceptions,"M5.  I am willing to refer individuals to programs/providers offering this treatment for opioid use disorder:",radio,"M5a.  Methadone","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_willing,,
